id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2,"Rooftop terrace room with ensuite bathroom, Airc.",13660,Simon,Chamartn,Hispanoamrica,40.45628,-3.67763,Private room,70,1,65,9/4/2019,0.56,1,53
3,Bright and airy room,83531,Abdel,Latina,Crmenes,40.40341,-3.74084,Private room,17,4,33,7/15/2018,0.55,2,48
4,Gran Via Studio Madrid,101471,Iraido,Centro,Universidad,40.42202,-3.70395,Entire home/apt,80,5,2,7/3/2017,0.03,1,354
5,"Select the Madrid more ""cool"".",101653,Tenty,Centro,Justicia,40.41995,-3.69764,Entire home/apt,115,3,64,7/7/2019,0.63,1,301
6,Single Room whith private Bathroom,114340,Agustina,Arganzuela,Legazpi,40.38985,-3.69011,Private room,25,2,136,7/10/2019,1.19,1,337
7,Great Vacational Apartments,130907,Dana,Centro,Sol,40.41552,-3.70346,Entire home/apt,65,5,168,7/9/2019,1.5,3,322
8,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40.41111,-3.70269,Entire home/apt,54,3,8,5/30/2017,0.15,1,0
9,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40.42096,-3.70428,Entire home/apt,90,3,38,7/7/2019,0.35,3,337
10,Habitacin para fminas en el centro de Madrid,288380,Patricia,Centro,Palacio,40.41971,-3.71256,Private room,40,1,14,12/9/2018,0.14,1,363
11,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40.4208,-3.69878,Private room,45,1,57,7/29/2019,3.43,2,352
12,"PLAZA ESPAA/Wifi/ downtown /parking. Cozy, Bright",353616,Diana,Centro,Universidad,40.42365,-3.70889,Entire home/apt,65,5,85,9/16/2019,0.81,2,291
13,"Heart of Malasaa Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,Universidad,40.42321,-3.70143,Entire home/apt,70,28,18,5/19/2019,0.18,5,343
14,Superbly located 2 bedrooms 2 balconies,353738,Raquel,Centro,Palacio,40.42138,-3.71101,Entire home/apt,75,28,3,6/1/2016,0.04,5,323
